"full_name","spkid","orbit_id","a","e","i","q","ad","om","w","ma","n","tp","neo","pha"
"  5143 Heracles (1991 VL)",20005143,"JPL 767",1.835,0.7710,8.98,0.420,3.25,309.09,228.22,45.49,0.3965,2460485.77,Y,N
"  5189 (1990 UQ)",20005189,"JPL 310",1.552,0.4783,3.58,0.809,2.29,135.05,159.95,257.64,0.51,2460801.21,Y,Y
"  5496 (1973 NA)",20005496,"JPL 62",2.435,0.6350,68.00,0.889,3.98,101.04,117.98,195.45,0.2594,2461234.90,Y,N
"  5645 (1990 SP)",20005645,"JPL 269",1.355,0.3873,13.51,0.830,1.88,45.71,48.27,164.51,0.6251,2460337.32,Y,N
"  5660 (1974 MA)",20005660,"JPL 127",1.785,0.7621,38.14,0.425,3.15,302.12,127.04,358.08,0.4132,2460605.14,Y,N
"  5693 (1993 EA)",20005693,"JPL 440",1.271,0.5851,5.06,0.527,2.01,96.98,258.98,203.14,0.6882,2460828.42,Y,Y
"  5731 Zeus (1988 VP4)",20005731,"JPL 270",2.266,0.6521,11.20,0.788,3.74,280.59,218.43,166.28,0.289,2460025.06,Y,N
"  5786 Talos (1991 RC)",20005786,"JPL 233",1.081,0.8268,23.22,0.187,1.98,161.28,8.39,277.56,0.8763,2460694.57,Y,N
"  5828 (1991 AM)",20005828,"JPL 229",1.698,0.6949,30.12,0.518,2.88,125.42,152.77,57.64,0.4454,2460471.10,Y,N
"  6037 (1988 EG)",20006037,"JPL 165",1.272,0.4997,3.51,0.636,1.91,182.18,242.32,249.72,0.6874,2460760.94,Y,Y
"  6047 (1991 TB1)",20006047,"JPL 169",1.455,0.3521,23.47,0.942,1.97,6.07,103.82,242.40,0.5619,2460809.80,Y,N
"  6053 (1993 BW3)",20006053,"JPL 379",2.147,0.5287,21.58,1.012,3.28,318.23,74.93,82.05,0.3134,2460338.67,Y,N
"  6063 Jason (1984 KB)",20006063,"JPL 214",2.22,0.7622,4.96,0.528,3.91,169.03,337.61,99.90,0.2979,2460265.20,Y,N
"  6239 Minos (1989 QF)",20006239,"JPL 241",1.151,0.4126,3.94,0.676,1.63,344.53,239.77,224.50,0.7982,2460770.27,Y,Y
"  6455 (1992 HE)",20006455,"JPL 516",2.24,0.5728,37.34,0.957,3.52,26.89,262.75,230.08,0.294,2461042.38,Y,N
"  6489 Golevka (1991 JX)",20006489,"JPL 107",2.484,0.6151,2.27,0.956,4.01,209.42,68.66,151.88,0.2518,2459997.28,Y,Y
"  6611 (1993 VW)",20006611,"JPL 278",1.696,0.4846,8.70,0.874,2.52,230.77,281.59,315.03,0.4461,2460701.29,Y,N
"  7025 (1993 QA)",20007025,"JPL 151",1.476,0.3150,12.61,1.011,1.94,146.59,323.45,14.75,0.5498,2460573.66,Y,N
"  7092 Cadmus (1992 LC)",20007092,"JPL 236",2.545,0.6935,17.79,0.780,4.31,56.72,94.77,30.55,0.2427,2460474.64,Y,N
"  7335 (1989 JA)",20007335,"JPL 223",1.772,0.4846,15.17,0.913,2.63,61.28,232.27,349.17,0.4178,2460626.41,Y,Y
"  7341 (1991 VK)",20007341,"JPL 445",1.841,0.5061,5.41,0.909,2.77,294.73,173.48,37.89,0.3944,2460504.43,Y,Y
"  7350 (1993 VA)",20007350,"JPL 369",1.356,0.3911,7.26,0.826,1.89,133.05,336.70,183.75,0.6242,2460882.87,Y,N
"  7482 (1994 PC1)",20007482,"JPL 218",1.349,0.3294,33.47,0.904,1.79,117.85,47.49,246.56,0.6293,2460780.76,Y,Y
"  7753 (1988 XB)",20007753,"JPL 235",1.467,0.4817,3.12,0.761,2.17,73.39,280.08,95.85,0.5545,2460427.66,Y,Y
"  7822 (1991 CS)",20007822,"JPL 315",1.123,0.1646,37.12,0.938,1.31,156.84,249.45,182.35,0.8285,2460814.92,Y,Y
