"full_name","spkid","orbit_id","a","e","i","q","ad","om","w","ma","n","tp","neo","pha"
"171576 (1999 VP11)",20171576,"JPL 107",1.086,0.5836,17.28,0.452,1.72,208.08,61.74,111.24,0.8711,2460472.79,Y,Y
"171839 (2001 JM1)",20171839,"JPL 93",1.46,0.3108,17.08,1.007,1.91,226.64,321.98,118.84,0.5584,2460387.68,Y,Y
"172678 (2003 YM137)",20172678,"JPL 53",2.559,0.7028,2.82,0.761,4.36,73.98,131.02,326.04,0.2407,2460741.59,Y,Y
"172722 (2004 BV102)",20172722,"JPL 116",1.544,0.6994,7.22,0.464,2.62,341.28,17.23,314.19,0.5139,2460689.64,Y,N
"173561 (2000 YV137)",20173561,"JPL 156",1.448,0.3109,28.00,0.998,1.90,137.22,211.38,330.30,0.5656,2460653.01,Y,Y
"174881 (2004 BU58)",20174881,"JPL 59",1.254,0.5570,57.23,0.556,1.95,120.17,171.81,150.58,0.7019,2460385.97,Y,N
"175114 (2004 QQ)",20175114,"JPL 139",2.25,0.6633,5.72,0.758,3.74,288.08,31.49,2.16,0.2921,2460593.09,Y,N
"175706 (1996 FG3)",20175706,"JPL 159",1.055,0.3501,1.97,0.686,1.42,299.50,24.06,32.72,0.9095,2460564.53,Y,Y
"175729 (1998 BB10)",20175729,"JPL 56",1.271,0.4246,11.54,0.732,1.81,124.27,259.25,280.61,0.6875,2460715.98,Y,Y
"175921 (2000 DM1)",20175921,"JPL 112",1.369,0.4838,20.70,0.707,2.03,342.76,306.70,63.57,0.6153,2460497.19,Y,N
"177016 (2003 BM47)",20177016,"JPL 48",1.16,0.5821,13.81,0.485,1.84,137.58,155.35,30.01,0.7887,2460562.44,Y,N
"177049 (2003 EE16)",20177049,"JPL 92",1.418,0.6143,0.65,0.547,2.29,127.23,259.50,5.13,0.5838,2460591.71,Y,Y
"177614 (2004 HK33)",20177614,"JPL 186",1.889,0.5204,5.44,0.906,2.87,104.70,221.54,294.36,0.3796,2460773.42,Y,Y
"177651 (2004 XM14)",20177651,"JPL 116",1.154,0.6989,42.40,0.348,1.96,89.42,186.37,87.01,0.7947,2460491.02,Y,N
"179806 (2002 TD66)",20179806,"JPL 63",1.858,0.5347,4.93,0.864,2.85,335.53,125.88,220.46,0.3892,2460958.98,Y,Y
"180186 (2003 QZ30)",20180186,"JPL 147",2.422,0.6315,8.57,0.892,3.95,178.04,243.10,198.78,0.2615,2461216.99,Y,Y
"184266 (2004 VW14)",20184266,"JPL 76",2.121,0.5977,3.83,0.853,3.39,100.83,42.78,140.17,0.319,2460161.14,Y,Y
"184990 (2006 KE89)",20184990,"JPL 322",1.053,0.7991,45.12,0.212,1.90,88.59,299.23,316.50,0.9117,2460648.21,Y,N
"185851 (2000 DP107)",20185851,"JPL 343",1.365,0.3765,8.67,0.851,1.88,358.65,289.77,62.22,0.6179,2460499.81,Y,Y
"186822 (2004 FE31)",20186822,"JPL 353",1.574,0.4526,13.06,0.862,2.29,200.73,150.36,14.28,0.499,2460571.88,Y,N
"186823 (2004 FN32)",20186823,"JPL 68",1.205,0.6768,21.96,0.389,2.02,190.06,161.15,106.71,0.7452,2460457.30,Y,N
"186844 (2004 GA1)",20186844,"JPL 156",2.43,0.6726,7.77,0.795,4.06,261.48,54.63,114.88,0.2602,2460159.01,Y,Y
"187040 (2005 JS108)",20187040,"JPL 156",1.355,0.3222,6.04,0.919,1.79,110.84,244.00,28.42,0.6246,2460555.00,Y,Y
"189008 (1996 FR3)",20189008,"JPL 114",2.168,0.7935,8.04,0.448,3.89,27.15,36.73,13.67,0.3088,2460556.21,Y,N
"189040 (2000 MU1)",20189040,"JPL 101",1.372,0.3825,13.09,0.848,1.90,130.03,63.78,84.71,0.613,2460462.31,Y,Y
"189173 (2002 XY4)",20189173,"JPL 97",1.844,0.5703,43.08,0.792,2.90,268.90,273.74,230.36,0.3937,2460929.77,Y,N
"189630 (2001 LE6)",20189630,"JPL 95",1.206,0.6931,12.62,0.370,2.04,290.52,201.56,289.65,0.7442,2460695.02,Y,N
"189865 (2003 NC)",20189865,"JPL 59",1.406,0.8055,21.57,0.273,2.54,288.39,224.33,315.33,0.5914,2460676.03,Y,Y
"190119 (2004 VA64)",20190119,"JPL 61",2.469,0.8903,29.86,0.271,4.67,225.51,20.00,71.20,0.2541,2460320.31,Y,N
"190135 (2005 QE30)",20190135,"JPL 71",2.019,0.6882,6.22,0.629,3.41,259.70,217.07,182.99,0.3436,2461115.67,Y,N
"190491 (2000 FJ10)",20190491,"JPL 70",1.319,0.2346,5.28,1.010,1.63,189.74,232.38,180.86,0.6504,2460875.94,Y,N
"190788 (2001 RT17)",20190788,"JPL 99",1.268,0.7921,20.09,0.264,2.27,349.97,199.65,150.63,0.6902,2460382.25,Y,N
"191094 (2002 EA3)",20191094,"JPL 25",2.115,0.6411,32.15,0.759,3.47,349.38,259.41,109.66,0.3204,2460258.21,Y,N
"192559 (1998 VO)",20192559,"JPL 69",1.075,0.2266,10.06,0.831,1.32,228.12,75.97,182.11,0.8845,2460801.62,Y,Y
"192563 (1998 WZ6)",20192563,"JPL 183",1.452,0.4078,24.76,0.860,2.04,68.68,110.75,226.25,0.5633,2460837.95,Y,Y
"192642 (1999 RD32)",20192642,"JPL 145",2.641,0.7703,6.81,0.607,4.68,309.86,300.10,325.32,0.2296,2460751.53,Y,N
"193178 (2000 PK5)",20193178,"JPL 51",1.934,0.7015,13.13,0.577,3.29,227.20,191.83,327.00,0.3664,2460690.57,Y,N
"194006 (2001 SG10)",20194006,"JPL 84",1.449,0.4243,4.26,0.834,2.06,184.93,101.62,114.85,0.5651,2460397.26,Y,Y
"194268 (2001 UY4)",20194268,"JPL 114",1.453,0.7875,5.44,0.309,2.60,160.69,107.81,74.45,0.5628,2460468.23,Y,Y
"194386 (2001 VG5)",20194386,"JPL 336",2.301,0.6135,13.69,0.889,3.71,248.25,280.40,162.60,0.2823,2460024.56,Y,N
"196068 (2002 TW55)",20196068,"JPL 39",2.118,0.6645,59.35,0.711,3.53,33.54,251.12,85.27,0.3198,2460333.87,Y,Y
"196625 (2003 RM10)",20196625,"JPL 45",1.848,0.5917,13.72,0.754,2.94,341.17,287.44,166.92,0.3924,2460175.09,Y,Y
"197588 (2004 HE12)",20197588,"JPL 58",1.845,0.4659,42.71,0.986,2.71,338.03,162.22,69.47,0.3931,2460423.81,Y,Y
"199145 (2005 YY128)",20199145,"JPL 120",1.649,0.7323,3.77,0.441,2.86,299.96,315.17,261.48,0.4655,2460812.15,Y,Y
"199801 (2007 AE12)",20199801,"JPL 55",1.684,0.5694,2.29,0.725,2.64,245.44,86.98,128.40,0.4509,2460315.72,Y,Y
"200754 (2001 WA25)",20200754,"JPL 129",1.756,0.5169,15.51,0.849,2.66,279.74,83.79,321.14,0.4234,2460692.28,Y,N
"202411 (2005 RC)",20202411,"JPL 109",2.152,0.7524,16.26,0.533,3.77,191.95,40.59,45.46,0.3122,2460454.91,Y,N
"202435 (2005 XH8)",20202435,"JPL 91",1.322,0.6917,29.09,0.408,2.24,79.69,159.13,88.38,0.6481,2460464.13,Y,N
"204131 (2003 YL)",20204131,"JPL 76",1.147,0.6323,5.65,0.422,1.87,291.92,29.47,47.32,0.8028,2460541.56,Y,N
"204232 (2004 DG2)",20204232,"JPL 95",1.248,0.5634,17.34,0.545,1.95,329.24,343.38,184.02,0.7074,2460849.28,Y,N
"205744 (2002 BK25)",20205744,"JPL 31",2.3,0.7490,11.94,0.577,4.02,155.03,105.06,162.93,0.2825,2460023.82,Y,N
"206378 (2003 RB)",20206378,"JPL 183",1.788,0.4389,6.72,1.003,2.57,317.13,44.07,287.00,0.4121,2460777.62,Y,Y
"206910 (2004 NL8)",20206910,"JPL 111",2.574,0.7156,5.02,0.732,4.42,150.90,278.14,302.11,0.2387,2460843.05,Y,Y
"207398 (2006 AS2)",20207398,"JPL 107",2.091,0.6419,2.60,0.749,3.43,125.63,80.07,49.89,0.3261,2460447.48,Y,Y
"207945 (1991 JW)",20207945,"JPL 75",1.039,0.1186,8.71,0.916,1.16,53.85,301.95,92.10,0.9305,2460501.52,Y,Y
"208115 (2000 CT101)",20208115,"JPL 33",1.299,0.3547,23.30,0.838,1.76,135.55,292.43,278.65,0.6654,2460722.74,Y,Y
"208565 (2002 CT11)",20208565,"JPL 135",1.258,0.5388,53.85,0.580,1.94,6.06,24.90,90.30,0.6985,2460471.22,Y,N
"208617 (2002 EB3)",20208617,"JPL 129",1.758,0.6839,9.92,0.556,2.96,1.52,300.35,215.88,0.423,2460941.20,Y,N
"211871 (2004 HO)",20211871,"JPL 83",1.847,0.5109,7.87,0.903,2.79,146.11,163.78,14.91,0.3927,2460562.55,Y,N
"212359 (2006 EV52)",20212359,"JPL 134",2.016,0.7073,15.95,0.590,3.44,168.48,167.15,70.34,0.3443,2460396.20,Y,N
"213869 (2003 SG170)",20213869,"JPL 68",1.86,0.6029,36.99,0.739,2.98,199.25,309.25,52.74,0.3886,2460464.77,Y,N
"214088 (2004 JN13)",20214088,"JPL 310",2.89,0.6902,13.35,0.895,4.89,85.03,279.27,13.60,0.2006,2460532.72,Y,N
"214869 (2007 PA8)",20214869,"JPL 179",2.849,0.6530,2.00,0.989,4.71,141.30,293.85,175.77,0.2049,2459742.82,Y,Y
"215188 (2000 NM)",20215188,"JPL 221",2.686,0.6633,22.28,0.904,4.47,273.30,71.42,173.39,0.2239,2459826.01,Y,N
"215588 (2003 HF2)",20215588,"JPL 119",1.114,0.6755,3.06,0.361,1.87,189.88,231.04,195.33,0.8383,2460796.93,Y,Y
"216115 (2006 SU19)",20216115,"JPL 99",1.527,0.5864,2.09,0.632,2.42,152.22,10.63,92.91,0.5223,2460422.62,Y,Y
"216258 (2006 WH1)",20216258,"JPL 82",1.671,0.4849,2.63,0.861,2.48,240.31,263.68,65.58,0.4561,2460456.71,Y,Y
"216985 (2000 QK130)",20216985,"JPL 63",1.181,0.2620,4.72,0.871,1.49,173.81,66.40,358.14,0.7684,2460602.93,Y,Y
"217390 (2005 CW25)",20217390,"JPL 72",1.626,0.4779,28.48,0.849,2.40,148.30,108.96,135.51,0.4753,2460315.36,Y,N
"217430 (2005 SN25)",20217430,"JPL 114",1.23,0.2706,13.01,0.897,1.56,168.27,45.20,121.18,0.7225,2460432.76,Y,Y
"217628 Lugh (1990 HA)",20217628,"JPL 79",2.527,0.7115,4.44,0.729,4.33,177.75,316.15,160.51,0.2453,2459946.22,Y,Y
"217837 (2001 LC)",20217837,"JPL 75",1.055,0.6774,16.97,0.340,1.77,112.36,2.50,269.26,0.9101,2460700.21,Y,N
"218017 (2001 XV266)",20218017,"JPL 74",1.196,0.1927,12.00,0.966,1.43,214.08,265.07,100.23,0.7531,2460467.40,Y,N
"218863 (2006 WO127)",20218863,"JPL 349",2.197,0.5477,11.03,0.994,3.40,167.51,314.47,185.41,0.3027,2461177.31,Y,N
"219021 (1991 LH)",20219021,"JPL 74",1.357,0.7332,53.13,0.362,2.35,281.03,203.81,146.19,0.6237,2460366.13,Y,N
"219071 (1997 US9)",20219071,"JPL 286",1.053,0.2821,20.02,0.756,1.35,212.19,357.40,177.29,0.9124,2460406.19,Y,N
"220124 (2002 TE66)",20220124,"JPL 107",1.457,0.3778,51.34,0.906,2.01,191.00,290.55,133.57,0.5604,2460362.16,Y,N
"220839 (2004 VA)",20220839,"JPL 159",1.901,0.5949,3.69,0.770,3.03,109.45,43.48,180.72,0.3761,2461077.16,Y,Y
"220909 (2005 EO1)",20220909,"JPL 106",2.534,0.7053,13.87,0.747,4.32,231.15,40.88,284.10,0.2443,2460911.23,Y,N
"221455 (2006 BC10)",20221455,"JPL 78",2.017,0.6577,0.92,0.691,3.34,21.04,234.30,142.51,0.344,2460186.23,Y,Y
"221980 (1996 EO)",20221980,"JPL 45",1.342,0.4008,21.59,0.804,1.88,356.46,64.69,213.52,0.6342,2460831.45,Y,Y
"222869 (2002 FB6)",20222869,"JPL 81",1.797,0.5447,33.71,0.818,2.78,182.66,101.87,108.73,0.4092,2460334.81,Y,N
"224926 (2007 DA41)",20224926,"JPL 145",1.461,0.4400,30.22,0.818,2.10,225.90,20.32,299.49,0.5581,2460708.92,Y,N
"225416 (1999 YC)",20225416,"JPL 114",1.422,0.8304,38.27,0.241,2.60,64.75,156.45,198.44,0.5812,2460878.46,Y,N
"225586 (2000 WS67)",20225586,"JPL 79",1.299,0.7073,20.64,0.380,2.22,73.76,198.37,130.72,0.6657,2460404.15,Y,N
"225900 (2002 AF3)",20225900,"JPL 55",1.905,0.6204,10.56,0.723,3.09,353.21,190.40,207.73,0.3748,2461006.74,Y,N
"226514 (2003 UX34)",20226514,"JPL 78",1.095,0.6159,2.56,0.421,1.77,4.30,218.58,241.15,0.86,2460738.71,Y,Y
"226554 (2003 WR21)",20226554,"JPL 121",1.118,0.2615,9.27,0.826,1.41,85.76,108.11,123.09,0.8334,2460452.81,Y,Y
"228368 (2000 WK10)",20228368,"JPL 66",1.479,0.7020,14.73,0.441,2.52,57.93,244.51,150.90,0.548,2460325.13,Y,Y
"228502 (2001 TE2)",20228502,"JPL 76",1.083,0.1966,7.63,0.870,1.30,171.11,35.79,321.06,0.874,2460645.06,Y,N
"229007 (2003 XF11)",20229007,"JPL 104",2.196,0.8474,8.63,0.335,4.06,115.96,173.96,166.18,0.3029,2460051.80,Y,N
"229672 (2006 WR1)",20229672,"JPL 78",1.333,0.6137,38.20,0.515,2.15,105.96,132.13,181.36,0.6404,2460879.45,Y,N
"230089 (2000 WP148)",20230089,"JPL 39",1.319,0.2643,21.28,0.970,1.67,251.98,237.95,233.94,0.651,2460794.14,Y,N
"230420 (2002 PP6)",20230420,"JPL 32",2.327,0.6522,20.12,0.809,3.84,135.00,272.94,67.31,0.2777,2460358.08,Y,N
"230549 (2003 BH)",20230549,"JPL 49",1.457,0.3561,13.11,0.938,1.98,119.76,313.41,158.58,0.5607,2460317.65,Y,Y
"230599 (2003 FJ1)",20230599,"JPL 60",2.17,0.8171,20.96,0.397,3.94,128.59,182.08,242.10,0.3083,2460982.86,Y,N
"231134 (2005 TU45)",20231134,"JPL 205",1.975,0.4947,28.53,0.998,2.95,119.98,77.12,343.35,0.3552,2460647.38,Y,N
"231937 (2001 FO32)",20231937,"JPL 73",1.699,0.8258,39.01,0.296,3.10,181.71,123.36,202.09,0.4451,2460955.29,Y,Y
"232691 (2004 AR1)",20232691,"JPL 116",1.576,0.4695,9.08,0.836,2.32,336.51,50.31,206.69,0.4982,2460908.24,Y,Y
"234061 (1999 HE1)",20234061,"JPL 89",2.362,0.5723,8.16,1.010,3.71,65.79,221.95,338.86,0.2715,2460678.35,Y,N
"235700 (2004 TR13)",20235700,"JPL 40",2.017,0.7295,17.85,0.546,3.49,12.12,249.98,14.78,0.3441,2460557.53,Y,N
"235756 (2004 VC)",20235756,"JPL 93",1.133,0.2589,39.15,0.840,1.43,194.16,94.18,257.83,0.8169,2460725.57,Y,Y
"237551 (2000 WQ19)",20237551,"JPL 100",1.406,0.3470,34.27,0.918,1.89,38.78,270.73,173.19,0.5911,2460307.48,Y,N
"238063 (2003 EG)",20238063,"JPL 142",1.738,0.7136,31.79,0.498,2.98,359.03,326.94,98.05,0.4301,2460372.55,Y,N
"238456 (2004 RK)",20238456,"JPL 119",1.389,0.3004,18.15,0.972,1.81,178.76,264.43,36.87,0.6023,2460539.28,Y,N
"239849 (1999 VO11)",20239849,"JPL 26",2.256,0.6336,15.75,0.827,3.69,67.45,72.35,109.16,0.2908,2460225.19,Y,N
"241370 (2008 LW8)",20241370,"JPL 209",1.676,0.3936,17.27,1.016,2.34,223.10,118.63,174.13,0.4544,2460217.34,Y,N
"242147 (2003 BH84)",20242147,"JPL 99",1.959,0.7196,23.34,0.549,3.37,283.20,35.57,77.66,0.3594,2460384.40,Y,N
"242450 (2004 QY2)",20242450,"JPL 287",1.084,0.4772,37.03,0.567,1.60,295.27,104.98,234.73,0.8734,2460743.93,Y,Y
"242643 (2005 NZ6)",20242643,"JPL 126",1.833,0.8652,8.41,0.247,3.42,38.79,48.96,237.52,0.397,2460909.01,Y,Y
"242708 (2005 UK1)",20242708,"JPL 138",2.501,0.6953,0.79,0.762,4.24,180.30,345.94,238.37,0.2492,2461088.55,Y,Y
"243566 (1995 SA)",20243566,"JPL 120",2.463,0.6420,19.58,0.882,4.05,169.02,54.30,255.75,0.2549,2461009.46,Y,Y
"244670 (2003 KN18)",20244670,"JPL 111",1.749,0.4856,11.90,0.900,2.60,168.66,354.78,145.54,0.4261,2460258.94,Y,N
"244977 (2004 BE68)",20244977,"JPL 86",1.761,0.4446,15.74,0.978,2.54,210.88,191.28,343.49,0.4219,2460639.64,Y,Y
"247360 (2001 XU)",20247360,"JPL 23",2.573,0.8366,19.07,0.420,4.73,260.98,286.06,181.52,0.2388,2461347.99,Y,Y
"248590 (2006 CS)",20248590,"JPL 127",2.915,0.6968,52.30,0.884,4.95,172.41,346.41,258.82,0.198,2461111.41,Y,N
"250458 (2004 BO41)",20250458,"JPL 130",1.019,0.4929,35.55,0.516,1.52,337.74,254.45,12.44,0.9589,2460587.53,Y,N
"250577 (2005 AC)",20250577,"JPL 57",1.05,0.5178,46.88,0.506,1.59,315.76,285.59,83.26,0.9162,2460509.62,Y,N
"250614 (2005 GG)",20250614,"JPL 133",2.042,0.6595,34.84,0.695,3.39,106.38,335.28,265.76,0.3378,2460879.52,Y,N
"250620 (2005 GE59)",20250620,"JPL 141",2.109,0.6025,16.08,0.838,3.38,194.74,243.02,196.79,0.3218,2461107.67,Y,Y
"250697 (2005 QY151)",20250697,"JPL 149",1.381,0.4392,12.65,0.774,1.99,14.32,124.96,173.96,0.6076,2460314.17,Y,N
"250706 (2005 RR6)",20250706,"JPL 109",2.957,0.7011,6.93,0.884,5.03,27.27,59.96,258.29,0.1938,2461125.23,Y,Y
"251346 (2007 SJ)",20251346,"JPL 192",2.015,0.5332,8.18,0.940,3.09,306.76,175.25,271.06,0.3447,2460858.55,Y,Y
"251722 (1997 US2)",20251722,"JPL 59",1.675,0.6608,3.17,0.568,2.78,65.89,100.33,115.60,0.4547,2460346.26,Y,Y
"252091 (2000 UP30)",20252091,"JPL 89",2.253,0.7615,9.37,0.537,3.97,194.86,118.99,55.04,0.2914,2460411.64,Y,N
"252373 (2001 SA270)",20252373,"JPL 106",1.302,0.7357,38.52,0.344,2.26,210.01,15.64,218.25,0.6631,2460814.25,Y,N
"252558 (2001 WT1)",20252558,"JPL 73",1.089,0.3973,7.16,0.657,1.52,73.77,180.71,202.70,0.8667,2460781.99,Y,N
"253106 (2002 UR3)",20253106,"JPL 187",1.379,0.7925,48.65,0.286,2.47,51.85,141.28,138.36,0.6088,2460373.22,Y,N
"253841 (2003 YG118)",20253841,"JPL 118",2.28,0.6461,8.03,0.807,3.75,347.42,233.54,330.41,0.2863,2460703.85,Y,Y
"254417 (2004 VV)",20254417,"JPL 70",2.076,0.6044,52.47,0.821,3.33,342.74,354.65,252.52,0.3294,2460926.77,Y,N
"255071 (2005 UH6)",20255071,"JPL 56",1.001,0.6325,2.64,0.368,1.63,19.29,200.25,53.56,0.9839,2460546.06,Y,Y
"255501 (2006 BG)",20255501,"JPL 91",1.683,0.7320,4.83,0.451,2.92,280.88,341.31,168.83,0.4513,2460226.39,Y,N
"257744 (2000 AD205)",20257744,"JPL 103",1.695,0.5861,7.92,0.701,2.69,157.17,192.09,122.47,0.4467,2460326.36,Y,N
"259221 (2003 BA21)",20259221,"JPL 54",1.1,0.8331,23.70,0.184,2.02,308.86,18.15,18.88,0.854,2460578.39,Y,N
"260141 (2004 QT24)",20260141,"JPL 152",1.133,0.2519,17.75,0.847,1.42,36.10,76.64,130.60,0.8175,2460440.73,Y,Y
"263976 (2009 KD5)",20263976,"JPL 172",1.046,0.2615,13.47,0.773,1.32,104.49,294.37,26.87,0.9211,2460571.33,Y,Y
"264993 (2003 DX10)",20264993,"JPL 78",1.375,0.4108,3.15,0.810,1.94,61.75,194.06,95.46,0.6114,2460444.36,Y,Y
"265032 (2003 OU)",20265032,"JPL 66",2.304,0.7023,40.14,0.686,3.92,206.32,175.51,343.14,0.2819,2460660.30,Y,N
"265187 (2003 YS117)",20265187,"JPL 85",1.249,0.3303,29.56,0.837,1.66,300.39,322.08,196.87,0.7058,2460831.64,Y,N
"265196 (2004 BW58)",20265196,"JPL 123",1.455,0.3787,15.21,0.904,2.01,132.61,301.85,328.22,0.5617,2460657.08,Y,Y
"265482 (2005 EE)",20265482,"JPL 75",1.129,0.3277,6.17,0.759,1.50,110.78,284.75,214.47,0.822,2460777.55,Y,Y
"265661 (2005 UB)",20265661,"JPL 94",1.897,0.7382,27.71,0.497,3.30,272.08,3.19,118.18,0.3772,2460287.23,Y,N
"267131 (2000 EK26)",20267131,"JPL 40",2.41,0.6573,15.65,0.826,3.99,126.39,305.54,240.69,0.2635,2461053.37,Y,Y
"267136 (2000 EF104)",20267136,"JPL 105",1.148,0.4178,10.82,0.668,1.63,66.34,346.81,87.21,0.8016,2460491.71,Y,N
"267221 (2001 AD2)",20267221,"JPL 104",1.04,0.6598,1.64,0.354,1.73,210.54,111.95,235.31,0.9292,2460734.69,Y,Y
"267223 (2001 DQ8)",20267223,"JPL 98",1.842,0.9009,12.77,0.183,3.50,342.65,14.85,195.31,0.3942,2461018.32,Y,N
"267337 (2001 VK5)",20267337,"JPL 209",1.269,0.5140,19.43,0.617,1.92,54.22,263.93,64.72,0.6893,2460506.61,Y,Y
"267494 (2002 JB9)",20267494,"JPL 119",2.719,0.7843,46.76,0.586,4.85,70.21,278.00,341.38,0.2199,2460685.17,Y,Y
"267720 (2003 CA)",20267720,"JPL 74",1.379,0.7196,21.15,0.387,2.37,126.17,234.82,185.74,0.6085,2460886.90,Y,Y
"267729 (2003 FC5)",20267729,"JPL 118",1.917,0.6087,5.83,0.750,3.08,188.76,271.26,64.82,0.3714,2460425.95,Y,Y
"267940 (2004 EM20)",20267940,"JPL 51",1.105,0.5240,14.14,0.526,1.68,343.76,314.89,183.29,0.848,2460808.88,Y,N
"269690 (1996 RG3)",20269690,"JPL 56",2.001,0.6037,3.58,0.793,3.21,158.05,300.27,297.31,0.3482,2460780.53,Y,Y
"271480 (2004 FX31)",20271480,"JPL 263",1.261,0.4420,24.75,0.703,1.82,169.13,285.80,230.70,0.6964,2460786.16,Y,N
"274138 (2008 FU6)",20274138,"JPL 202",1.324,0.5690,12.83,0.571,2.08,192.82,129.12,259.99,0.647,2460755.09,Y,N
"275677 (2000 RS11)",20275677,"JPL 114",1.28,0.3205,17.10,0.870,1.69,172.16,301.69,146.18,0.6804,2460385.66,Y,Y
"275714 (2000 YH4)",20275714,"JPL 96",1.49,0.4586,17.97,0.806,2.17,85.55,269.52,72.84,0.5421,2460466.15,Y,N
"275974 (2001 XD)",20275974,"JPL 87",2.045,0.7958,11.30,0.418,3.67,63.96,232.73,318.64,0.337,2460723.23,Y,N
"275975 (2001 XF1)",20275975,"JPL 50",1.479,0.4637,22.03,0.793,2.16,87.77,231.59,313.55,0.548,2460685.26,Y,N
"275976 (2001 XV10)",20275976,"JPL 149",2.205,0.5854,22.35,0.914,3.50,31.38,342.07,27.14,0.3011,2460510.37,Y,N
"276033 (2002 AJ129)",20276033,"JPL 102",1.37,0.9149,15.44,0.117,2.62,138.01,211.04,85.46,0.6144,2460461.40,Y,Y
"276049 (2002 CE26)",20276049,"JPL 226",2.233,0.5612,47.29,0.980,3.49,161.87,228.07,358.03,0.2953,2460607.16,Y,N
"276409 (2002 YN2)",20276409,"JPL 58",1.243,0.5872,50.26,0.513,1.97,290.68,38.47,322.91,0.7115,2460652.63,Y,N
"276703 (2004 BL11)",20276703,"JPL 77",1.26,0.7498,9.81,0.315,2.21,142.42,176.95,334.14,0.6967,2460637.61,Y,N
"276732 (2004 EV9)",20276732,"JPL 126",1.471,0.7809,40.82,0.322,2.62,172.40,226.73,234.17,0.5524,2460828.30,Y,N
"276891 (2004 RH340)",20276891,"JPL 35",1.295,0.3813,26.11,0.801,1.79,51.54,335.44,238.83,0.6691,2460781.61,Y,N
"277039 (2005 CF41)",20277039,"JPL 51",1.649,0.5859,15.87,0.683,2.61,132.18,208.77,238.17,0.4656,2460862.13,Y,N
"277142 (2005 LG8)",20277142,"JPL 122",1.755,0.8274,26.57,0.303,3.21,211.30,193.82,59.78,0.4239,2460459.47,Y,N
"277475 (2005 WK4)",20277475,"JPL 93",1.011,0.2374,9.84,0.771,1.25,138.11,74.13,83.30,0.9702,2460514.64,Y,Y
"277570 (2005 YP180)",20277570,"JPL 67",1.372,0.6170,4.11,0.526,2.22,288.91,92.47,276.63,0.613,2460736.49,Y,Y
"277616 (2006 BN6)",20277616,"JPL 91",2.577,0.6943,18.75,0.788,4.37,249.38,338.86,185.67,0.2383,2461332.02,Y,N
"277617 (2006 BT7)",20277617,"JPL 69",1.522,0.6333,16.17,0.558,2.49,298.55,342.56,229.01,0.525,2460849.99,Y,N
"277810 (2006 FV35)",20277810,"JPL 92",1.001,0.3774,7.10,0.623,1.38,179.47,170.78,43.25,0.9835,2460556.52,Y,N
"277958 (2006 SP134)",20277958,"JPL 82",2.049,0.7365,13.04,0.540,3.56,16.64,192.31,150.40,0.3359,2460152.79,Y,N
"278327 (2007 HA59)",20278327,"JPL 84",2.514,0.7257,54.49,0.690,4.34,57.10,17.64,229.99,0.2473,2461126.30,Y,N
"278381 (2007 MR)",20278381,"JPL 31",1.023,0.2588,5.83,0.758,1.29,172.75,217.67,170.81,0.9527,2460421.20,Y,N
"279744 (1998 KM3)",20279744,"JPL 45",1.67,0.6108,4.66,0.650,2.69,263.02,85.36,37.82,0.4565,2460517.66,Y,Y
"279816 (2000 JE5)",20279816,"JPL 37",1.238,0.4006,50.74,0.742,1.73,41.23,285.16,202.01,0.7154,2460821.35,Y,Y
"280136 (2002 OM4)",20280136,"JPL 117",1.496,0.5632,55.30,0.653,2.34,143.04,28.15,129.77,0.5387,2460359.60,Y,N
"280491 (2004 MO7)",20280491,"JPL 20",1.105,0.4840,24.08,0.570,1.64,38.51,61.42,245.19,0.8489,2460735.75,Y,N
"281070 (2006 OY10)",20281070,"JPL 52",1.806,0.5744,35.63,0.769,2.84,233.99,92.44,155.85,0.406,2460216.61,Y,N
"281365 (2008 CM116)",20281365,"JPL 114",1.63,0.6632,18.71,0.549,2.71,0.11,355.82,126.12,0.4735,2460334.12,Y,N
"284422 (2006 YD)",20284422,"JPL 72",2.622,0.6939,7.74,0.803,4.44,223.37,352.07,51.28,0.2321,2460379.53,Y,N
"285179 (1996 TY11)",20285179,"JPL 58",1.228,0.5354,13.93,0.571,1.89,30.61,158.79,85.52,0.7242,2460482.41,Y,N
"285331 (1999 FN53)",20285331,"JPL 132",1.735,0.4563,20.17,0.943,2.53,50.57,191.73,40.74,0.4312,2460506.01,Y,N
"285339 (1999 JR6)",20285339,"JPL 67",1.367,0.6755,20.32,0.443,2.29,52.61,27.29,54.33,0.617,2460512.44,Y,N
"285540 (2000 GU127)",20285540,"JPL 47",2.105,0.7266,8.49,0.576,3.63,171.94,138.85,343.26,0.3227,2460652.37,Y,N
"285567 (2000 OM)",20285567,"JPL 65",1.701,0.6401,13.57,0.612,2.79,123.33,74.19,4.25,0.4441,2460590.93,Y,N
"285638 (2000 SO10)",20285638,"JPL 69",1.3,0.5404,36.95,0.597,2.00,356.41,204.05,219.86,0.6653,2460811.14,Y,N
"285990 (2001 SK9)",20285990,"JPL 68",1.786,0.7894,25.84,0.376,3.20,195.54,34.80,284.70,0.413,2460782.82,Y,N
"286080 (2001 TX1)",20286080,"JPL 33",1.047,0.4825,2.80,0.542,1.55,159.14,354.18,86.91,0.9194,2460505.97,Y,Y
